Algorithm,IID,Epsilon,Poison_Rate,Round,Benign_Accuracy,Benign_roc,f1,ASR,ASR_f1,FNR
FedAvg,TRUE,20,0,73,0.8694,0.9874260360555347,0.8669461578991087,0.010310421286031043,0.00204104,0.133053842
FedAvg,TRUE,20,0,74,0.8706,0.9875225213311121,0.8682937553818191,0.009866962,0.001954111,0.131706245
FedAvg,TRUE,20,0,75,0.8705,0.9876054952078274,0.8681502521495041,0.009866962,0.001954111,0.131849748
FedAvg,TRUE,20,0,76,0.8707,0.9877239464468982,0.8686241204485562,0.009423503,0.001867106,0.13137588
FedAvg,TRUE,20,0,77,0.8717,0.9877718599105727,0.869375854,0.010643015521064302,0.002106187,0.130624146
FedAvg,TRUE,20,0,78,0.8717,0.9878797204260635,0.86945549,0.011197339246119735,0.002214669,0.13054451
FedAvg,TRUE,20,0,79,0.8736,0.9879617235251894,0.8712511236795771,0.010753880266075388,0.002127893,0.128748876
FedAvg,TRUE,20,0,80,0.8737,0.9880123226507672,0.8713683607772456,0.01097561,0.002171291,0.128631639
FedAvg,TRUE,20,0,81,0.8738,0.9880530621327761,0.8715801271632747,0.009977827,0.001975851,0.128419873
FedAvg,TRUE,20,0,82,0.873,0.9880739557506871,0.8706565174721895,0.011419068736141907,0.002258029,0.129343483
FedAvg,TRUE,20,0,83,0.8728,0.9881797080502853,0.8703956634580999,0.011529933481152993,0.002279702,0.129604337
FedAvg,TRUE,20,0,84,0.8744,0.9882368476733918,0.8721378897126544,0.009312639,0.001845343,0.12786211
FedAvg,TRUE,20,0,85,0.875,0.9883145323042101,0.872708685,0.009866962,0.001954111,0.127291315
FedAvg,TRUE,20,0,86,0.8741,0.9884018335205781,0.8718527441260033,0.009866962,0.001954111,0.128147256
FedAvg,TRUE,20,0,87,0.876,0.9884595425091172,0.8737444581314134,0.009977827,0.001975851,0.126255542
FedAvg,TRUE,20,0,88,0.8755,0.9885295252483701,0.873391488,0.009090909,0.001801802,0.126608512
FedAvg,TRUE,20,0,89,0.876,0.9885736366881497,0.8738013192747436,0.009977827,0.001975851,0.126198681
FedAvg,TRUE,20,0,90,0.8759,0.9885684166628728,0.8737061007720195,0.009866962,0.001954111,0.126293899
FedAvg,TRUE,20,0,91,0.8781,0.9886710156100771,0.8759052844747851,0.009866962,0.001954111,0.124094716
FedAvg,TRUE,20,0,92,0.8778,0.9886833308578387,0.8755419013079742,0.009866962,0.001954111,0.124458099
FedAvg,TRUE,20,0,93,0.8777,0.9887326377596389,0.8754173706208721,0.009756098,0.001932367,0.124582629
FedAvg,TRUE,20,0,94,0.8778,0.988770808,0.8755716219319167,0.009645233,0.001910618,0.124428378
FedAvg,TRUE,20,0,95,0.8781,0.9888633392746314,0.875926137,0.009534368,0.001888864,0.124073863
FedAvg,TRUE,20,0,96,0.8784,0.9889570757884568,0.8762051293736736,0.009977827,0.001975851,0.123794871
FedAvg,TRUE,20,0,97,0.8794,0.9890130598624554,0.8772200656903684,0.009756098,0.001932367,0.122779934
FedAvg,TRUE,20,0,98,0.8799,0.989076531,0.8777015166600373,0.010088691796008869,0.001997585,0.122298483
FedAvg,TRUE,20,0,99,0.8791,0.9890663156992229,0.8769367981590875,0.009423503,0.001867106,0.123063202
FedAvg,TRUE,20,0,100,0.8807,0.9891729684084876,0.8785396771430267,0.010310421286031043,0.00204104,0.121460323
FedAvg,TRUE,20,0.01,1,0.254,0.7663034241150667,0.17730695552814799,0.025277161862527715,0.006163495,0.822693044
FedAvg,TRUE,20,0.01,2,0.4784,0.8848802350030752,0.3838529109665977,0.12560975609756098,0.024798363,0.616147089
FedAvg,TRUE,20,0.01,3,0.5169,0.9287297452015745,0.43279266100000113,0.1616407982261641,0.030921932,0.567207339
FedAvg,TRUE,20,0.01,4,0.5289,0.945712501,0.4715440783010494,0.17838137472283813,0.033639623,0.528455922
FedAvg,TRUE,20,0.01,5,0.6014,0.9524963028484524,0.5453057111234767,0.10210643015521065,0.018529323,0.454694289
FedAvg,TRUE,20,0.01,6,0.6268,0.9571612424132298,0.5853035652958851,0.13015521064301552,0.023033156758877772,0.414696435
FedAvg,TRUE,20,0.01,7,0.6488,0.9602606770369875,0.6107746934675536,0.11419068736141907,0.020497512437810943,0.389225307
FedAvg,TRUE,20,0.01,8,0.6358,0.9635228601369505,0.59769851,0.1221729490022173,0.021774352894684844,0.40230149
FedAvg,TRUE,20,0.01,9,0.6534,0.9657657824631427,0.6199542304832572,0.09789357,0.017832979905079267,0.38004577
