Algorithm,IID,Epsilon,Poison_Rate,Round,Benign_Accuracy,Benign_roc,f1,ASR,ASR_f1,FNR
FedAvg,TRUE,20,0.01,84,0.3059,0.7484583222222223,0.2879970811543279,0.11066666666666666,0.019927971,0.712002919
FedAvg,TRUE,20,0.01,85,0.3083,0.7487745,0.28927730175120503,0.133,0.023477493,0.710722698
FedAvg,TRUE,20,0.01,86,0.3092,0.7492591055555555,0.2898843669925911,0.089666667,0.016457632303456714,0.710115633
FedAvg,TRUE,20,0.01,87,0.3125,0.7490884666666667,0.3007651134037842,0.10244444444444445,0.018584962709131223,0.699234887
FedAvg,TRUE,20,0.01,88,0.3079,0.7502513888888889,0.2897739986438392,0.099222222,0.018053169,0.710226001
FedAvg,TRUE,20,0.01,89,0.3108,0.7501953000000001,0.2960302681914825,0.096111111,0.017536746,0.703969732
FedAvg,TRUE,20,0.01,90,0.3089,0.7508557277777779,0.29121067909959825,0.098333333,0.017905918057663124,0.708789321
FedAvg,TRUE,20,0.01,91,0.3103,0.7509970555555555,0.29291852649990074,0.107,0.019331527,0.707081474
FedAvg,TRUE,20,0.01,92,0.3125,0.7510544111111112,0.29753435838574344,0.10733333333333334,0.019385912,0.702465642
FedAvg,TRUE,20,0.01,93,0.311,0.7515433666666665,0.29054926729356256,0.103,0.018676337262012694,0.709450733
FedAvg,TRUE,20,0.01,94,0.3108,0.7520919722222222,0.2914870572049573,0.10666666666666667,0.019277108,0.708512943
FedAvg,TRUE,20,0.01,95,0.3115,0.7522616277777778,0.2915596599149613,0.12766666666666668,0.022642625,0.70844034
FedAvg,TRUE,20,0.01,96,0.3124,0.7524001111111112,0.2992242668900808,0.1,0.018181818,0.700775733
FedAvg,TRUE,20,0.01,97,0.3112,0.7526748499999999,0.2942357152456244,0.10411111111111111,0.018858811,0.705764285
FedAvg,TRUE,20,0.01,98,0.3105,0.7536799833333333,0.28952535726249584,0.10177777777777777,0.018475191609519968,0.710474643
FedAvg,TRUE,20,0.01,99,0.313,0.7540136000000001,0.29353717775159055,0.098666667,0.017961165,0.706462822
FedAvg,TRUE,20,0.01,100,0.3138,0.7538527833333333,0.2993192122897085,0.089666667,0.016457632303456714,0.700680788
FedAvg,TRUE,20,0.05,1,0.1,0.5291564888888889,0.018181818,1,1,0.981818182
FedAvg,TRUE,20,0.05,2,0.1,0.5571213,0.018181818,1,1,0.981818182
FedAvg,TRUE,20,0.05,3,0.1,0.5941005722222223,0.018181818,1,1,0.981818182
